Site No	Site Name	Service	Class	Modulation	Area Served	Commenced Date
2119	Vale Of Clwydd	10 pgm	D	COFDM	Lithgow East	01/03/2025 0:05
2159	Bellevue Hill WIN	10 pgm	D	COFDM	Cowra	01/03/2025 0:05
2170	Bathurst East WIN	10 pgm	D	COFDM	Bathurst	01/03/2025 0:05
2601	Endicotts Hill WIN	10 pgm	D	COFDM	Mudgee	01/03/2025 0:05
2621	Hospital Hill Condobolin	10 pgm	D	COFDM	Condobolin	01/03/2025 0:05
2040	Gore Hill	HIT FM	A	FM	Sydney	02/09/2019 11:05
2040	Gore Hill	Triple M	A	FM	Sydney	02/09/2019 11:05
2136	Artarmon TXA	HIT FM	A	FM	Sydney	02/09/2019 11:05
2136	Artarmon TXA	Triple M	A	FM	Sydney	02/09/2019 11:05
2612	Gaanha bula Mt Canobolas Seven	Triple M	B	FM	Orange	02/09/2019 11:05
2612	Gaanha bula Mt Canobolas Seven	HIT FM	B	FM	Orange	02/09/2019 11:05
2015	Brokers Nose	2RPH	B	FM	Wollongong	14/12/2021 0:00
2040	Gore Hill	Smooth FM 95.3	A	FM	Sydney	01/08/2005 7:00
2093	Garlands Hill	SBS Digital Television	D	COFDM	Portland/Wallerawang	22/11/2014 15:30
2144	Bicentennial Park MF	2SM		AM	Sydney	16/04/2026 14:00
2040	Gore Hill	Nova FM	A	FM	Sydney	15/01/2001 0:00
2040	Gore Hill	SBS Radio	A	FM	Sydney	30/06/1994 0:00
2116	Windang Town MF	SBS Radio	B	AM	Wollongong	01/02/2006 7:00
2130	Windang Peninsula MF	SBS Radio	C	AM	Wollongong	01/08/1979 0:00
2134	Prospect MF	2RPH	C	AM	Sydney	15/11/1994 0:00
2136	Artarmon TXA	National Digital Radio	A	COFDM	Sydney	20/09/2009 7:00
2144	Bicentennial Park MF	SBS Radio	A	AM	Sydney	01/06/1975 0:00
2015	Brokers Nose	SBS Digital Television	B	COFDM	Wollongong	08/01/2014 15:30
2040	Gore Hill	SBS Digital Television	A	COFDM	Sydney	02/01/2014 12:00
2052	Knights Hill	SBS Digital Television	A	COFDM	Illawarra	13/07/2014 5:03
2058	Littleton	SBS Digital Television	C	COFDM	Lithgow	01/03/2005 9:00
2067	Gaanha bula Mt Canobolas	SBS Digital Television	B	COFDM	Central Tablelands	03/10/2014 4:40
2070	Mt Gibraltar WIN	SBS Digital Television	C	COFDM	Bowral/Mittagong	01/03/2005 9:00
2088	North Head	SBS Digital Television	C	COFDM	Manly/Mosman	02/01/2013 12:00
2110	Little Forest Trig	SBS Digital Television	C	COFDM	Ulladulla	01/11/2004 9:00
2136	Artarmon TXA	SBS Digital Television	A	COFDM	Sydney	05/03/2014 2:30
2257	Elan	SBS Digital Television	B	COFDM	Kings Cross	02/01/2014 12:00
2023	Condobolin	SBS Digital Television	D	COFDM	Condobolin	30/10/2014 15:30
2049	Mt Cumbermelon	SBS Digital Television	D	COFDM	Kandos	23/10/2014 15:30
2083	Endicotts Hill	SBS Digital Television	D	COFDM	Mudgee	22/11/2014 13:00
2090	Cambewarra Lookout	SBS Digital Television	D	COFDM	Nowra North	27/08/2014 15:20
2099	Stanwell Park WIN	SBS Digital Television	D	COFDM	Stanwell Park	03/04/2003 15:00
2119	Vale Of Clwydd	SBS Digital Television	D	COFDM	Lithgow East	19/06/2014 15:20
2159	Bellevue Hill WIN	SBS Digital Television	D	COFDM	Cowra	24/10/2014 15:20
2170	Bathurst East WIN	SBS Digital Television	D	COFDM	Bathurst	22/11/2014 15:36
2015	Brokers Nose	Seven Digital Television	C	COFDM	Wollongong	11/10/2021 7:00
2049	Mt Cumbermelon	Seven Digital Television	D	COFDM	Kandos	11/10/2021 7:00
